RegionName,Year,HomeownershipRate,RentalRate,HomeValue_MillionUSD,HomeownerAffordability,RenterAffordability,Income_Tier,Less_than_High_School_Rate,Bachelors_or_Higher_Rate,ElderlyRate,SalesTotal_Million,CPI,MortgageRate,National_Unemployment,NonSingleHouseholdRate,Nominal_GDP_TrillionUSD
"Colorado Springs, CO",2018,0.6622818317666198,0.3377181682333802,0.308408721558281,0.2753495352881491,0.2229661588050621,Upper-Middle Income,11.7,38.6,0.1321259264973157,447.9473112,251.0995,4.544615384615385,3.891666666666666,0.6716195425736307,20.6565
"Columbia, MO",2018,0.5415622360386059,0.4584377639613941,0.1839026556238361,0.2313104452912686,0.1616940630917651,Upper-Middle Income,8.8,48.4,0.1218688369767506,46.2928422,251.0995,4.544615384615385,3.891666666666666,0.5470318623038897,20.6565
"Columbia, SC",2018,0.6711658817107384,0.3288341182892615,0.15477144007613416,0.1909187801414068,0.22827564402676,Lower-Middle Income,10.4,31.0,0.1481711305683748,224.72466880000002,251.0995,4.544615384615385,3.891666666666666,0.6401336752440557,20.6565
"Columbus, IN",2018,0.7091028816907592,0.2908971183092408,0.1624255181649786,0.1678128763717742,0.1859210075942396,Upper-Middle Income,13.5,33.3,0.1637282032071345,20.053870800000002,251.0995,4.544615384615385,3.891666666666666,0.6423442350506412,20.6565
"Columbus, OH",2018,0.6187264983381247,0.3812735016618754,0.1921580739007574,0.2203874370418169,0.1858259290732272,Upper-Middle Income,13.3,37.7,0.1324265703824421,527.4088696,251.0995,4.544615384615385,3.891666666666666,0.6294635229263973,20.6565
"Corpus Christi, TX",2018,0.6171633898808235,0.3828366101191764,0.16618539707673693,0.2582599228186481,0.2589823606316418,Lower-Middle Income,3.1,21.1,0.1513709714810554,91.874967,251.0995,4.544615384615385,3.891666666666666,0.6855522502520208,20.6565
"Corvallis, OR",2018,0.5884009009009009,0.4115990990990991,0.3637223055217632,0.3826712664533411,0.2298863380042296,Upper-Middle Income,15.3,53.4,0.1611600308357129,36.609075,251.0995,4.544615384615385,3.891666666666666,0.5855855855855856,20.6565
"Dover, DE",2018,0.6798691057030409,0.320130894296959,0.21288372010970624,0.233581736563801,0.2449481086665133,Low Income,9.3,23.3,0.1669672360683282,46.0354258,251.0995,4.544615384615385,3.891666666666666,0.6619448416149526,20.6565
"East Stroudsburg, PA",2018,0.7751002558565752,0.2248997441434248,0.15965562210098994,0.2215622486997414,0.1999077115383714,Lower-Middle Income,7.7,22.0,0.1659400496734648,50.7496706,251.0995,4.544615384615385,3.891666666666666,0.6911756700357473,20.6565
"El Paso, TX",2018,0.610990624147063,0.389009375852937,0.13613707958831972,0.2510457002510243,0.2564140894416838,Low Income,5.8,23.5,0.122487489981923,101.2454802,251.0995,4.544615384615385,3.891666666666666,0.7040520503684689,20.6565
"Erie, PA",2018,0.6554732825122727,0.3445267174877273,0.12574509160357242,0.2128077921050582,0.1482879959538312,Lower-Middle Income,9.3,27.8,0.1798346694307526,35.1094256,251.0995,4.544615384615385,3.891666666666666,0.6223667313314571,20.6565
"Fayetteville, NC",2018,0.5327200872172254,0.4672799127827746,0.14041828302621373,0.2300139429726306,0.2296360698022056,Low Income,6.4,25.8,0.1172893405736074,101.124836,251.0995,4.544615384615385,3.891666666666666,0.6380417007358954,20.6565
"Flagstaff, AZ",2018,0.6282178741406663,0.3717821258593337,0.3530468576172502,0.3780272342140651,0.3050619147485643,Upper-Middle Income,8.0,36.0,0.1246937432623517,72.5074296,251.0995,4.544615384615385,3.891666666666666,0.6309254362771021,20.6565
"Flint, MI",2018,0.6809859030265122,0.3190140969734877,0.10645225114614795,0.17070860630444,0.1753845496903361,Low Income,6.4,22.2,0.1748867021224305,93.07748579999999,251.0995,4.544615384615385,3.891666666666666,0.6190807758351085,20.6565
"Fort Collins, CO",2018,0.6299091704811238,0.3700908295188762,0.3941657675064699,0.3369869222149675,0.2311105999653765,High Income,17.4,47.6,0.1569163352523978,229.8887484,251.0995,4.544615384615385,3.891666666666666,0.6148641861933392,20.6565
"Fort Wayne, IN",2018,0.7203718857182653,0.2796281142817348,0.1395258165501213,0.1729195674777378,0.1626521225464659,Upper-Middle Income,8.7,27.7,0.1504486656566833,109.07624440000001,251.0995,4.544615384615385,3.891666666666666,0.6620471124884656,20.6565
"Fresno, CA",2018,0.51188780010274,0.4881121998972599,0.2603097371546717,0.3150181464115646,0.2811075807482705,Lower-Middle Income,7.8,21.8,0.1222244569589702,248.2182646,251.0995,4.544615384615385,3.891666666666666,0.7134424704137711,20.6565
"Gainesville, FL",2018,0.615675012599728,0.384324987400272,0.1884380923262292,0.2707179320894118,0.2550726275045525,Lower-Middle Income,18.7,41.6,0.1441268257877254,78.5901444,251.0995,4.544615384615385,3.891666666666666,0.5200311902701572,20.6565
"Gainesville, GA",2018,0.6999846130173872,0.3000153869826127,0.21799121013681952,0.2322933716003114,0.2179359920669775,Upper-Middle Income,7.1,24.2,0.1487919741971229,72.78544040000001,251.0995,4.544615384615385,3.891666666666666,0.7320972457301124,20.6565
"Grand Junction, CO",2018,0.6851797956279913,0.3148202043720088,0.24942909679814362,0.2863882269709716,0.2175344388329011,Lower-Middle Income,14.5,30.0,0.1879874940440058,87.5741056,251.0995,4.544615384615385,3.891666666666666,0.6032531367222869,20.6565
"Great Falls, MT",2018,0.5957309184993532,0.4042690815006468,0.1890758634976782,0.2652473383867533,0.1846020111524146,Upper-Middle Income,9.8,24.3,0.1837879548767193,22.1523812,251.0995,4.544615384615385,3.891666666666666,0.6247820462343214,20.6565
"Greenville, NC",2018,0.5338875418542893,0.4661124581457107,0.14059520329353617,0.2073617065707922,0.2344728058159428,Lower-Middle Income,13.6,31.9,0.1308402903609502,35.528169,251.0995,4.544615384615385,3.891666666666666,0.5507591502136012,20.6565
"Hinesville, GA",2018,0.4925549591002045,0.5074450408997955,0.13590619548388375,0.2071641724404977,0.2352878549216971,Low Income,3.5,16.7,0.0836166383361663,13.856248,251.0995,4.544615384615385,3.891666666666666,0.715075408997955,20.6565
"Homosassa Springs, FL",2018,0.8287929622911081,0.1712070377088918,0.15943307137750432,0.2414578165551508,0.2724395196137799,Low Income,3.8,18.3,0.3639043054438278,58.9089566,251.0995,4.544615384615385,3.891666666666666,0.5797120061644165,20.6565
"Huntsville, AL",2018,0.6754820162545392,0.3245179837454608,0.18332194714966266,0.1909824668082016,0.1746462849532539,Upper-Middle Income,11.8,40.3,0.1529307769946811,164.639736,251.0995,4.544615384615385,3.891666666666666,0.6514136261455992,20.6565
"Idaho Falls, ID",2018,0.6978392977717758,0.3021607022282241,0.21689191286012302,0.2385237803119734,0.1565375666837795,Lower-Middle Income,7.4,29.9,0.1276878383908863,45.9326036,251.0995,4.544615384615385,3.891666666666666,0.7292370020256583,20.6565
"Iowa City, IA",2018,0.6005797434204861,0.3994202565795138,0.2083260037009867,0.2484007107943222,0.2124073075136258,Upper-Middle Income,20.7,49.3,0.1258700930213782,56.952307,251.0995,4.544615384615385,3.891666666666666,0.5742473380592945,20.6565
"Jackson, MI",2018,0.7247356145563756,0.2752643854436244,0.1383882316755789,0.1952037541280987,0.1506787176672789,Low Income,5.1,21.0,0.1797409695069353,36.0156584,251.0995,4.544615384615385,3.891666666666666,0.6295089299977635,20.6565
"Jackson, MS",2018,0.6776119829087484,0.3223880170912517,0.13640510087090024,0.170667553558429,0.2190209881214613,Lower-Middle Income,10.9,32.6,0.1442014817863758,105.7533758,251.0995,4.544615384615385,3.891666666666666,0.6628284308594159,20.6565
"Jacksonville, FL",2018,0.6348581825891562,0.3651418174108438,0.2201267903422701,0.248286057791927,0.2224257301480925,Upper-Middle Income,7.4,31.7,0.1582021514288451,671.2547394,251.0995,4.544615384615385,3.891666666666666,0.6628497644341641,20.6565
"Jacksonville, NC",2018,0.5359098662357483,0.4640901337642517,0.15979330793923827,0.2206385420508365,0.2060256582409544,Lower-Middle Income,4.9,23.8,0.0912369804181442,58.8073984,251.0995,4.544615384615385,3.891666666666666,0.7319178861058743,20.6565
"Johnson City, TN",2018,0.6482149127941005,0.3517850872058995,0.1498003288953436,0.2222948585835133,0.2268320761243392,Low Income,12.7,27.5,0.1951294864187602,51.170234799999996,251.0995,4.544615384615385,3.891666666666666,0.6364274844902259,20.6565
"Johnstown, PA",2018,0.7421879149478604,0.2578120850521396,0.0920280911513054,0.1537000718577069,0.1507104291458307,Low Income,8.2,21.4,0.2251878843088134,13.694930800000002,251.0995,4.544615384615385,3.891666666666666,0.6285962147902909,20.6565
"Jonesboro, AR",2018,0.5724658450367822,0.4275341549632177,0.13193633580683709,0.2000911364621141,0.2437202163670549,Low Income,17.0,24.7,0.1493903359188724,26.2611746,251.0995,4.544615384615385,3.891666666666666,0.6420177701347091,20.6565
"Knoxville, TN",2018,0.6868799995357704,0.3131200004642296,0.1794675482197756,0.211563579380351,0.2294465511832127,Upper-Middle Income,10.2,28.7,0.1834935044040435,311.25453860000005,251.0995,4.544615384615385,3.891666666666666,0.6601490757477724,20.6565
"Kokomo, IN",2018,0.6793591166510146,0.3206408833489854,0.10553497019426895,0.1393957923865496,0.1287531360282182,Low Income,16.0,22.5,0.1932472136561202,13.072729,251.0995,4.544615384615385,3.891666666666666,0.6684595463729759,20.6565
"Lafayette, LA",2018,0.6870962317677115,0.3129037682322884,0.1738166184334084,0.2435794672871498,0.221303901640151,Lower-Middle Income,5.0,24.3,0.1429610678349858,72.7502658,251.0995,4.544615384615385,3.891666666666666,0.6644119832715872,20.6565
"Lake Charles, LA",2018,0.665833177831685,0.334166822168315,0.20479619423628145,0.2649416833385245,0.2242960273909073,Lower-Middle Income,8.7,21.7,0.1490684711855995,40.9772524,251.0995,4.544615384615385,3.891666666666666,0.64441127075947,20.6565
"Lancaster, PA",2018,0.6738703145834363,0.3261296854165638,0.22682968603999284,0.2073434671580925,0.168765379196971,High Income,11.7,28.5,0.1816755188508289,134.7060742,251.0995,4.544615384615385,3.891666666666666,0.6916341547730752,20.6565
"Las Cruces, NM",2018,0.6049571565372035,0.3950428434627964,0.17654475181385584,0.28669323155732,0.2652246215425461,Low Income,4.8,28.7,0.1599194564227986,36.850704,251.0995,4.544615384615385,3.891666666666666,0.6561827656108147,20.6565
"Lawrence, KS",2018,0.5295560962643384,0.4704439037356616,0.1970644460548537,0.2514534663607711,0.2135081032261216,Lower-Middle Income,10.4,56.2,0.1259922922362396,26.231358399999998,251.0995,4.544615384615385,3.891666666666666,0.5388799149406015,20.6565
"Lawton, OK",2018,0.5646813566160812,0.4353186433839188,0.09537000263521041,0.1475553838876838,0.1638417551662014,Low Income,6.9,23.2,0.129184699592668,17.006947399999998,251.0995,4.544615384615385,3.891666666666666,0.6743179933200332,20.6565
"Lincoln, NE",2018,0.6052510537546844,0.3947489462453156,0.19120507801192368,0.2480229864091457,0.1820484975719943,High Income,18.5,40.6,0.1400360517900133,78.8569388,251.0995,4.544615384615385,3.891666666666666,0.5876595712594537,20.6565
"Longview, TX",2018,0.6688128140703518,0.3311871859296482,0.15138046154583934,0.2180248924139599,0.1898583898920923,Lower-Middle Income,2.7,17.4,0.162608184415975,43.2244812,251.0995,4.544615384615385,3.891666666666666,0.6879972780569514,20.6565
"Lubbock, TX",2018,0.5670842872008325,0.4329157127991675,0.15647848729326538,0.2418541508921479,0.2472460436354536,Lower-Middle Income,13.8,29.2,0.1247019484679448,83.7585432,251.0995,4.544615384615385,3.891666666666666,0.6194214360041623,20.6565
"Madison, WI",2018,0.6098645108384072,0.3901354891615928,0.26835203113630757,0.2799488223833571,0.1994030026594903,High Income,20.0,45.7,0.1462277150064655,249.10414740000002,251.0995,4.544615384615385,3.891666666666666,0.5805859343817354,20.6565
"Manhattan, KS",2018,0.5033136556025841,0.4966863443974159,0.17685269225576342,0.2813566285348161,0.2405751388684318,Lower-Middle Income,13.4,44.9,0.1080220453153704,,251.0995,4.544615384615385,3.891666666666666,0.547727779015371,20.6565
"Medford, OR",2018,0.6605410582823794,0.3394589417176206,0.313615638315016,0.3747764187999873,0.27951600003852,Upper-Middle Income,7.2,28.1,0.2217531107103168,110.928329,251.0995,4.544615384615385,3.891666666666666,0.6399812890507535,20.6565
"Merced, CA",2018,0.530602488457232,0.469397511542768,0.26580481312685605,0.3030880761735978,0.2596696591562568,Low Income,9.3,14.6,0.1119065383145597,50.7961916,251.0995,4.544615384615385,3.891666666666666,0.7293897115251551,20.6565
"Midland, TX",2018,0.661248077865459,0.338751922134541,0.258337183932088,0.2363780819393744,0.2393860040237577,High Income,10.6,27.5,0.1081154284553487,77.6067294,251.0995,4.544615384615385,3.891666666666666,0.667077848561145,20.6565
"Missoula, MT",2018,0.5727862542409873,0.4272137457590127,0.3051696199549785,0.3689698331907035,0.1779431539582721,High Income,12.9,39.7,0.1536900943674184,47.5326152,251.0995,4.544615384615385,3.891666666666666,0.5961191246205433,20.6565
"Mobile, AL",2018,0.60006178015092,0.3999382198490799,0.12202650935010163,0.1902004614932267,0.217264733819364,Low Income,8.9,22.3,0.1608625352562011,74.0620998,251.0995,4.544615384615385,3.891666666666666,0.6313742301121499,20.6565
"Modesto, CA",2018,0.5919415885049466,0.4080584114950534,0.31060334214982827,0.3281433176573194,0.2708215070224239,Lower-Middle Income,4.0,16.6,0.1318752671353091,177.192474,251.0995,4.544615384615385,3.891666666666666,0.7322045315720068,20.6565
"Montgomery, AL",2018,0.642179530295387,0.3578204697046129,0.13352991761796984,0.1725982915833433,0.2090931862494831,Lower-Middle Income,5.6,28.9,0.153317746872665,78.48122,251.0995,4.544615384615385,3.891666666666666,0.6575724454907236,20.6565
"Morgantown, WV",2018,0.6234743196735185,0.3765256803264815,0.17935608347634688,0.2167692387992353,0.2463270901822337,Lower-Middle Income,12.7,38.1,0.1422653804746932,26.093017800000002,251.0995,4.544615384615385,3.891666666666666,0.5780377259135275,20.6565
"Muncie, IN",2018,0.6485842289951668,0.3514157710048333,0.08946756940223521,0.1511025786178267,0.1654803024970184,Low Income,9.4,25.0,0.1736573380266964,15.7478202,251.0995,4.544615384615385,3.891666666666666,0.5807199134867913,20.6565
"Napa, CA",2018,0.6351685511994082,0.3648314488005917,0.6810936087396526,0.4902671703651791,0.3107011087729815,High Income,8.3,34.9,0.1922649318232353,121.1125326,251.0995,4.544615384615385,3.891666666666666,0.6988058755151644,20.6565
"Ocala, FL",2018,0.7559275242085596,0.2440724757914404,0.15798935670063985,0.2445081899246962,0.2542579969714146,Low Income,3.9,19.9,0.2889740177844696,119.7340808,251.0995,4.544615384615385,3.891666666666666,0.6485523664782036,20.6565
"Odessa, TX",2018,0.6470014357766078,0.3529985642233921,0.18259451354303824,0.2235361140857988,0.2820824012956534,Upper-Middle Income,6.5,16.1,0.0935765216747674,26.445137600000002,251.0995,4.544615384615385,3.891666666666666,0.717575378271914,20.6565
"Oklahoma City, OK",2018,0.6305869867960057,0.3694130132039943,0.15175738082825882,0.1998028757767921,0.2042507726855209,Upper-Middle Income,8.8,30.7,0.1389163196545513,357.6928802,251.0995,4.544615384615385,3.891666666666666,0.6522980083863467,20.6565
"Panama City, FL",2018,0.6874836849105622,0.3125163150894378,0.2117246634033208,0.2841181634885498,0.282550564454337,Lower-Middle Income,5.8,22.6,0.1711228365775432,120.5407234,251.0995,4.544615384615385,3.891666666666666,0.6648725247678596,20.6565
"Peoria, IL",2018,0.6946554025215607,0.3053445974784394,0.10681992055625664,0.1569538879841779,0.1409017704201875,Upper-Middle Income,11.4,28.6,0.1796204327294722,82.8442546,251.0995,4.544615384615385,3.891666666666666,0.6366026001476894,20.6565
"Pittsburgh, PA",2018,0.6959692724094803,0.3040307275905197,0.149454215761079,0.1825763073678759,0.2148566801395315,High Income,17.2,35.5,0.1996083007885172,567.0930522000001,251.0995,4.544615384615385,3.891666666666666,0.5990331540759036,20.6565
"Port St. Lucie, FL",2018,0.7578338961053245,0.2421661038946755,0.2302932369154165,0.2937934327687509,0.2906387812080951,High Income,14.1,26.9,0.264764334909966,270.41868939999995,251.0995,4.544615384615385,3.891666666666666,0.6593011361761568,20.6565
"Pueblo, CO",2018,0.6529236074760599,0.34707639252394,0.17665808326532867,0.2456523066339767,0.2249815712079861,Low Income,5.4,21.8,0.184039778187657,46.6615344,251.0995,4.544615384615385,3.891666666666666,0.6404994303661052,20.6565
"Punta Gorda, FL",2018,0.8337179059686562,0.1662820940313437,0.20643970915829857,0.2807079636830266,0.3392363444152165,Lower-Middle Income,2.3,23.5,0.4017394782646299,129.329517,251.0995,4.544615384615385,3.891666666666666,0.6366655551850617,20.6565
"Rapid City, SD",2018,0.7019603821634278,0.2980396178365721,0.21304311464725204,0.2619768721193581,0.1951438146726349,High Income,11.5,31.7,0.1782155366694724,48.3511782,251.0995,4.544615384615385,3.891666666666666,0.6412517732314686,20.6565
"Reading, PA",2018,0.7134695489344356,0.2865304510655643,0.1732169402683777,0.219510534039011,0.1571099530900191,Upper-Middle Income,10.8,25.1,0.1721162817266132,95.208861,251.0995,4.544615384615385,3.891666666666666,0.6882348445282346,20.6565
"Redding, CA",2018,0.6510748115780521,0.3489251884219478,0.25804104986758586,0.3028542486461503,0.2217823059339136,Lower-Middle Income,5.4,22.2,0.2056598533659187,78.384382,251.0995,4.544615384615385,3.891666666666666,0.6742426464119182,20.6565
"Reno, NV",2018,0.5822164454198717,0.4177835545801283,0.3675022777629145,0.3405346517860076,0.2393168364270467,High Income,9.2,31.3,0.1643406575918008,306.662257,251.0995,4.544615384615385,3.891666666666666,0.5965939357780572,20.6565
"Rochester, MN",2018,0.7314426244303055,0.2685573755696945,0.22249065164870271,0.2075622015372763,0.2065886544758587,High Income,12.2,39.1,0.1666727327321862,78.9053548,251.0995,4.544615384615385,3.891666666666666,0.6530955281801363,20.6565
"Rockford, IL",2018,0.6886410269900562,0.3113589730099437,0.11359280645851576,0.1810089237465517,0.1679425542451791,Lower-Middle Income,7.0,22.8,0.1706519614521202,63.9342514,251.0995,4.544615384615385,3.891666666666666,0.6659802027824335,20.6565
"St. Cloud, MN",2018,0.676087913847632,0.323912086152368,0.19666965488790697,0.2198940942733353,0.1778280822288784,Upper-Middle Income,6.4,27.2,0.1486979544646923,57.1071696,251.0995,4.544615384615385,3.891666666666666,0.6459159026915943,20.6565
"St. George, UT",2018,0.7129612615471994,0.2870387384528005,0.3140997393608175,0.3156144296563255,0.2575387832900808,Lower-Middle Income,2.1,31.1,0.2172102504368084,95.60289159999999,251.0995,4.544615384615385,3.891666666666666,0.7371498254347426,20.6565
"Salem, OR",2018,0.5969521459042387,0.4030478540957612,0.2944575479356504,0.3286286580889578,0.2249179549321261,Lower-Middle Income,5.7,24.5,0.1591638085452046,150.6971796,251.0995,4.544615384615385,3.891666666666666,0.6860192796343105,20.6565
"Salinas, CA",2018,0.5130365244380399,0.4869634755619601,0.5558958847403732,0.4689697550355443,0.3070280522724385,High Income,6.4,24.8,0.1365744248084225,262.1966314,251.0995,4.544615384615385,3.891666666666666,0.7359440692325355,20.6565
"Salt Lake City, UT",2018,0.6744969446253748,0.3255030553746252,0.3408258775788622,0.2834903496356107,0.1883873655265264,High Income,8.5,35.2,0.1078246928525856,554.8982178,251.0995,4.544615384615385,3.891666666666666,0.6989349694959751,20.6565
"San Angelo, TX",2018,0.6253812189903956,0.3746187810096044,0.14999202994388536,0.2312008589078512,0.2206699631918721,Upper-Middle Income,5.9,24.1,0.1533568016092532,,251.0995,4.544615384615385,3.891666666666666,0.6520551686467295,20.6565
"Santa Fe, NM",2018,0.7117546685378028,0.2882453314621972,0.34012739632116995,0.3589380712972856,0.2623065926689038,High Income,7.2,39.4,0.243695686943541,107.2051346,251.0995,4.544615384615385,3.891666666666666,0.5818808107547802,20.6565
"Savannah, GA",2018,0.6046575093241153,0.3953424906758847,0.19647390166292308,0.2463396310247673,0.2309627450248411,Lower-Middle Income,11.7,30.9,0.1417403092217081,172.2128674,251.0995,4.544615384615385,3.891666666666666,0.6318286462014289,20.6565
"Sioux Falls, SD",2018,0.6704432537749635,0.3295567462250365,0.212226933616234,0.2411703686362184,0.159311291265949,High Income,13.1,33.9,0.1338782412626832,74.65029759999999,251.0995,4.544615384615385,3.891666666666666,0.6393960058451047,20.6565
"Spartanburg, SC",2018,0.707658321060383,0.2923416789396171,0.1552341134229631,0.2003653209567877,0.2313844912018119,Lower-Middle Income,6.6,23.2,0.1644398736587967,81.16168259999999,251.0995,4.544615384615385,3.891666666666666,0.694231191050669,20.6565
"Springfield, IL",2018,0.6861643695994383,0.3138356304005617,0.13323153797732656,0.1821941602760074,0.1476619152479808,Upper-Middle Income,10.8,33.0,0.1791107301758508,42.7864026,251.0995,4.544615384615385,3.891666666666666,0.6141266803320461,20.6565
"Springfield, MA",2018,0.6145845609899824,0.3854154390100177,0.22325200417586996,0.2891832615457024,0.238875470683074,Upper-Middle Income,7.3,32.9,0.1689452182075183,166.4290544,251.0995,4.544615384615385,3.891666666666666,0.6204983584476808,20.6565
